ns_steps,seed,test_acc,train_loss,orth_error,runtime_sec,W1_spec,W2_spec
1,0,0.9388888888888889,0.14063065366866603,0.8777049279636967,0.20006156499994177,2.190076860153016,2.008566907202796
1,1,0.9583333333333334,0.14825647352611315,0.8793317924220212,0.29519332700010636,2.230559480049288,2.04374414682257
1,2,0.95,0.15724591947546948,0.8799491052728281,0.2949610919999941,2.1632967888478363,1.9733758614167904
1,3,0.9583333333333334,0.1560992023781388,0.8784224237757599,0.39007286100013516,2.2375515497880007,2.01683143740312
1,4,0.95,0.153479566661455,0.8775824401026651,0.2070224409999355,2.115293332210491,1.9622192245026997
3,0,0.9416666666666667,0.1375214927226852,0.7014325566274359,0.7987418140000955,2.105409205350908,1.88865294559723
3,1,0.9611111111111111,0.14618142491572292,0.7081500363012837,0.3008710979997886,2.091629220901582,1.9280931422050092
3,2,0.95,0.15519060095356188,0.7111141635480142,0.285166413999832,2.0168643795675925,1.9041498626821929
3,3,0.9583333333333334,0.15581257180091507,0.7014562842902656,0.20410883500017007,2.100843662437659,1.9065804449473278
3,4,0.9472222222222222,0.1492605632163684,0.7006921473819648,0.20529331799980355,2.0409737193219577,1.8187701829653247
5,0,0.9416666666666667,0.1377006085970981,0.5613777782561059,0.20778398199990988,2.019263986611997,1.8973517584846504
5,1,0.9583333333333334,0.1506593431410735,0.5658973888898239,0.2989792100001978,1.9396151555207306,1.886586871451943
5,2,0.95,0.15505140053619826,0.5650948405944559,0.298267524000039,1.893150632259152,1.9686494401932366
5,3,0.9555555555555556,0.15555882867183982,0.5646246421346303,0.20975708900004975,1.8947459366350248,1.982919337567495
5,4,0.9472222222222222,0.14651690667963313,0.559600552632004,0.2919091090002439,1.9606491555710344,1.8362698551373695
8,0,0.95,0.14350845941308624,0.43791794837613174,0.21005042999968282,1.8777521171599167,1.9538198150339072
8,1,0.9527777777777777,0.16380172884813152,0.43515729618151083,0.3000237589999415,1.8600019119028428,1.975458564898396
8,2,0.9444444444444444,0.16098932517773895,0.4401078390963484,0.3968067659998269,1.7879906290781526,2.0329320901706804
8,3,0.9611111111111111,0.16029537922874154,0.44023926398347035,0.20608628200034218,1.7603580334872884,2.0827808685811373
8,4,0.9472222222222222,0.14784141950831262,0.4315227468945547,0.30302167899981214,1.832876860015231,1.945186307130914
