method,mean,std,seed_values
gd,0.9383333333333335,0.007535922203472494,"[0.9305555555555556, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 0.9277777777777778]"
adam,0.9516666666666665,0.007576767609436607,"[0.9444444444444444, 0.9583333333333334, 0.9416666666666667, 0.9611111111111111, 0.9527777777777777]"
adamw,0.9516666666666665,0.007576767609436607,"[0.9444444444444444, 0.9583333333333334, 0.9416666666666667, 0.9611111111111111, 0.9527777777777777]"
muon,0.9277777777777778,0.010393492741038731,"[0.9194444444444444, 0.9416666666666667, 0.9166666666666666, 0.9388888888888889, 0.9222222222222223]"
muonw,0.9272222222222222,0.010886621079036353,"[0.9166666666666666, 0.9416666666666667, 0.9166666666666666, 0.9388888888888889, 0.9222222222222223]"
rms_muonw,0.961111111111111,0.009296222517045278,"[0.9555555555555556, 0.95, 0.9555555555555556, 0.9722222222222222, 0.9722222222222222]"
newton_muonw,0.9466666666666665,0.009026709338484411,"[0.9416666666666667, 0.9416666666666667, 0.9388888888888889, 0.9472222222222222, 0.9638888888888889]"
