method,max_logit_mean,max_logit_std,W1_spec_mean,W1_spec_std,W2_spec_mean,W2_spec_std
sgd,7.434680814298391,1.7822443255634721,1.6400283338231076,0.05841334720429693,1.4211955253380584,0.03811675484547154
adam,23.176865684434745,5.13604926501475,3.275161504996099,0.059054823713793135,2.1114208626502746,0.043074727318300865
adamw,23.07488985880148,5.115267510891297,3.2705453029847726,0.058759768599612225,2.107554913017738,0.04312580759540925
muon,20.987998210137228,3.7641287242529184,2.2257392648729146,0.07294407331817768,2.4316193772024137,0.07911277963725005
muonw,13.792709761613526,2.186918767226477,1.7927548113929235,0.05711405393522188,2.040864528482351,0.056263670543499546
rms_muonw,81.45453391059566,22.19072623988372,5.357125800911973,0.10348631896171538,4.120775639198257,0.05552280736577845
cov_muonw,10.32882532198839,1.4301832304263316,1.9920596786144782,0.06305510954889891,2.3315622208939777,0.10398214405648193
