method,mean,std,seed_values
sgd,0.6255555555555554,0.04715354483093986,"[0.6361111111111111, 0.5833333333333334, 0.6361111111111111, 0.5694444444444444, 0.7027777777777777]"
adam,0.9516666666666668,0.005152010275275406,"[0.9527777777777777, 0.9527777777777777, 0.9416666666666667, 0.9555555555555556, 0.9555555555555556]"
adamw,0.9516666666666668,0.005152010275275406,"[0.9527777777777777, 0.9527777777777777, 0.9416666666666667, 0.9555555555555556, 0.9555555555555556]"
muon,0.9466666666666667,0.005931710140017407,"[0.9388888888888889, 0.95, 0.9416666666666667, 0.9555555555555556, 0.9472222222222222]"
muonw,0.9494444444444443,0.009196080754026044,"[0.9416666666666667, 0.9638888888888889, 0.9388888888888889, 0.9555555555555556, 0.9472222222222222]"
rms_muonw,0.9572222222222223,0.0048432210483785295,"[0.9527777777777777, 0.9555555555555556, 0.9666666666666667, 0.9555555555555556, 0.9555555555555556]"
newton_muonw,0.9566666666666667,0.011732617823301598,"[0.9611111111111111, 0.9527777777777777, 0.9388888888888889, 0.9555555555555556, 0.975]"
