shape,raw_mean,raw_std,theory,scaled_mean,scaled_std
16x16,0.25,0.0,0.25,1.0,0.0
16x64,0.125,0.0,0.125,1.0,0.0
64x16,0.125,0.0,0.125,1.0,0.0
32x128,0.08838834764831845,0.0,0.08838834764831845,1.0000000000000002,0.0
128x32,0.08838834764831845,0.0,0.08838834764831845,1.0000000000000002,0.0
64x256,0.0625,0.0,0.0625,1.0,0.0
